step,bs_id,q,candidate_user_count,candidate_users,user_pressures,sorted_candidates,quantile_threshold,oma_users,noma_users,noma_clusters,cluster_sizes,oma_cluster_count,noma_cluster_count,users_in_noma_clusters,max_cluster_size_seen,top_pressure_1,top_pressure_2,top_pressure_3,top_pressure_4
0,BS1,0.8,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 0.0, ""S2"": 0.0, ""S3"": 0.0, ""S4"": 0.0}","[{""pressure"": 0.0, ""user_id"": ""S1""}, {""pressure"": 0.0, ""user_id"": ""S2""}, {""pressure"": 0.0, ""user_id"": ""S3""}, {""pressure"": 0.0, ""user_id"": ""S4""}]",0.0,"[""S1"", ""S2"", ""S3"", ""S4""]",[],[],"[1, 1, 1, 1]",4,0,0,1,0.0,0.0,0.0,0.0
0,BS2,0.8,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 0.0, ""S6"": 0.0, ""S7"": 0.0, ""S8"": 0.0}","[{""pressure"": 0.0, ""user_id"": ""S5""}, {""pressure"": 0.0, ""user_id"": ""S6""}, {""pressure"": 0.0, ""user_id"": ""S7""}, {""pressure"": 0.0, ""user_id"": ""S8""}]",0.0,"[""S5"", ""S6"", ""S7"", ""S8""]",[],[],"[1, 1, 1, 1]",4,0,0,1,0.0,0.0,0.0,0.0
0,BS1,0.85,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 0.0, ""S2"": 0.0, ""S3"": 0.0, ""S4"": 0.0}","[{""pressure"": 0.0, ""user_id"": ""S1""}, {""pressure"": 0.0, ""user_id"": ""S2""}, {""pressure"": 0.0, ""user_id"": ""S3""}, {""pressure"": 0.0, ""user_id"": ""S4""}]",0.0,"[""S1"", ""S2"", ""S3"", ""S4""]",[],[],"[1, 1, 1, 1]",4,0,0,1,0.0,0.0,0.0,0.0
0,BS2,0.85,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 0.0, ""S6"": 0.0, ""S7"": 0.0, ""S8"": 0.0}","[{""pressure"": 0.0, ""user_id"": ""S5""}, {""pressure"": 0.0, ""user_id"": ""S6""}, {""pressure"": 0.0, ""user_id"": ""S7""}, {""pressure"": 0.0, ""user_id"": ""S8""}]",0.0,"[""S5"", ""S6"", ""S7"", ""S8""]",[],[],"[1, 1, 1, 1]",4,0,0,1,0.0,0.0,0.0,0.0
0,BS1,0.9,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 0.0, ""S2"": 0.0, ""S3"": 0.0, ""S4"": 0.0}","[{""pressure"": 0.0, ""user_id"": ""S1""}, {""pressure"": 0.0, ""user_id"": ""S2""}, {""pressure"": 0.0, ""user_id"": ""S3""}, {""pressure"": 0.0, ""user_id"": ""S4""}]",0.0,"[""S1"", ""S2"", ""S3"", ""S4""]",[],[],"[1, 1, 1, 1]",4,0,0,1,0.0,0.0,0.0,0.0
0,BS2,0.9,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 0.0, ""S6"": 0.0, ""S7"": 0.0, ""S8"": 0.0}","[{""pressure"": 0.0, ""user_id"": ""S5""}, {""pressure"": 0.0, ""user_id"": ""S6""}, {""pressure"": 0.0, ""user_id"": ""S7""}, {""pressure"": 0.0, ""user_id"": ""S8""}]",0.0,"[""S5"", ""S6"", ""S7"", ""S8""]",[],[],"[1, 1, 1, 1]",4,0,0,1,0.0,0.0,0.0,0.0
0,BS1,0.95,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 0.0, ""S2"": 0.0, ""S3"": 0.0, ""S4"": 0.0}","[{""pressure"": 0.0, ""user_id"": ""S1""}, {""pressure"": 0.0, ""user_id"": ""S2""}, {""pressure"": 0.0, ""user_id"": ""S3""}, {""pressure"": 0.0, ""user_id"": ""S4""}]",0.0,"[""S1"", ""S2"", ""S3"", ""S4""]",[],[],"[1, 1, 1, 1]",4,0,0,1,0.0,0.0,0.0,0.0
0,BS2,0.95,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 0.0, ""S6"": 0.0, ""S7"": 0.0, ""S8"": 0.0}","[{""pressure"": 0.0, ""user_id"": ""S5""}, {""pressure"": 0.0, ""user_id"": ""S6""}, {""pressure"": 0.0, ""user_id"": ""S7""}, {""pressure"": 0.0, ""user_id"": ""S8""}]",0.0,"[""S5"", ""S6"", ""S7"", ""S8""]",[],[],"[1, 1, 1, 1]",4,0,0,1,0.0,0.0,0.0,0.0
1,BS1,0.8,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 477127.0928008574, ""S2"": 519860.7889619179, ""S3"": 342627.8222195944, ""S4"": 426794.93411690305}","[{""pressure"": 519860.7889619179, ""user_id"": ""S2""}, {""pressure"": 477127.0928008574, ""user_id"": ""S1""}, {""pressure"": 426794.93411690305, ""user_id"": ""S4""}, {""pressure"": 342627.8222195944, ""user_id"": ""S3""}]",494220.5712652816,"[""S2""]","[""S1"", ""S4"", ""S3""]","[[""S1"", ""S4""], [""S3""]]","[1, 2, 1]",1,2,3,2,519860.7889619179,477127.0928008574,426794.93411690305,342627.8222195944
1,BS2,0.8,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 790204.6471450494, ""S6"": 842232.6241608096, ""S7"": 158239.466564661, ""S8"": 354971.6016838263}","[{""pressure"": 842232.6241608096, ""user_id"": ""S6""}, {""pressure"": 790204.6471450494, ""user_id"": ""S5""}, {""pressure"": 354971.6016838263, ""user_id"": ""S8""}, {""pressure"": 158239.466564661, ""user_id"": ""S7""}]",811015.8379513535,"[""S6""]","[""S5"", ""S8"", ""S7""]","[[""S5"", ""S8""], [""S7""]]","[1, 2, 1]",1,2,3,2,842232.6241608096,790204.6471450494,354971.6016838263,158239.466564661
1,BS1,0.85,4,"[""S1"", ""S2"", ""S3"", ""S4""]","{""S1"": 477127.0928008574, ""S2"": 519860.7889619179, ""S3"": 342627.8222195944, ""S4"": 426794.93411690305}","[{""pressure"": 519860.7889619179, ""user_id"": ""S2""}, {""pressure"": 477127.0928008574, ""user_id"": ""S1""}, {""pressure"": 426794.93411690305, ""user_id"": ""S4""}, {""pressure"": 342627.8222195944, ""user_id"": ""S3""}]",500630.62568944064,"[""S2""]","[""S1"", ""S4"", ""S3""]","[[""S1"", ""S4""], [""S3""]]","[1, 2, 1]",1,2,3,2,519860.7889619179,477127.0928008574,426794.93411690305,342627.8222195944
1,BS2,0.85,4,"[""S5"", ""S6"", ""S7"", ""S8""]","{""S5"": 790204.6471450494, ""S6"": 842232.6241608096, ""S7"": 158239.466564661, ""S8"": 354971.6016838263}","[{""pressure"": 842232.6241608096, ""user_id"": ""S6""}, {""pressure"": 790204.6471450494, ""user_id"": ""S5""}, {""pressure"": 354971.6016838263, ""user_id"": ""S8""}, {""pressure"": 158239.466564661, ""user_id"": ""S7""}]",818820.0345037174,"[""S6""]","[""S5"", ""S8"", ""S7""]","[[""S5"", ""S8""], [""S7""]]","[1, 2, 1]",1,2,3,2,842232.6241608096,790204.6471450494,354971.6016838263,158239.466564661
