mode,epoch,update_epoch,minibatch_id,current_batch_loss_before,current_batch_loss_after_attempt,heldout_loss_before,heldout_loss_after_attempt,probe_target_pearson_before,probe_target_pearson_after_attempt,current_batch_improved,heldout_degraded,probe_degraded,would_reject,accepted,rejected,reject_reasons,attempted_critic_param_delta_norm,attempted_critic_backbone_delta_norm,attempted_critic_head_delta_norm,effective_critic_param_delta_norm,effective_critic_backbone_delta_norm,effective_critic_head_delta_norm,current_loss_improve_epsilon,heldout_loss_tolerance,probe_pearson_tolerance
hierarchical_actor_joint_reward_aligned_credit,0,0,0,4.247528076171875,4.186733245849609,4.611498832702637,4.5868353843688965,-0.17987005412578583,-0.24477392435073853,1.0,0.0,1.0,1.0,1.0,0.0,probe_target_pearson_drop,0.11679252422874813,0.10624106423016778,0.00567891409014303,0.11679252422874813,0.10624106423016778,0.00567891409014303,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,0,1,4.202322006225586,4.16234016418457,4.5868353843688965,4.561576843261719,-0.24477392435073853,-0.28206145763397217,1.0,0.0,1.0,1.0,1.0,0.0,probe_target_pearson_drop,0.09067661040185854,0.08334090553385888,0.004676774804658383,0.09067661040185854,0.08334090553385888,0.004676774804658383,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,0,2,4.226126670837402,4.190016746520996,4.561576843261719,4.535963535308838,-0.28206145763397217,-0.30048587918281555,1.0,0.0,1.0,1.0,1.0,0.0,probe_target_pearson_drop,0.08015715298269376,0.07424119223099075,0.004366263463208822,0.08015715298269376,0.07424119223099075,0.004366263463208822,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,0,3,4.110520839691162,4.080414772033691,4.535963535308838,4.512686729431152,-0.30048587918281555,-0.3277653157711029,1.0,0.0,1.0,1.0,1.0,0.0,probe_target_pearson_drop,0.07223295759393637,0.06687617938437125,0.004160106370530649,0.07223295759393637,0.06687617938437125,0.004160106370530649,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,0,4,4.054060459136963,4.024346351623535,4.512686729431152,4.4885454177856445,-0.3277653157711029,-0.32884207367897034,1.0,0.0,1.0,1.0,1.0,0.0,probe_target_pearson_drop,0.06813289583759159,0.06317131264149276,0.004176018952945567,0.06813289583759159,0.06317131264149276,0.004176018952945567,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,0,5,4.059521675109863,4.031060695648193,4.4885454177856445,4.462001800537109,-0.32884207367897034,-0.32402971386909485,1.0,0.0,0.0,0.0,1.0,0.0,,0.0651545775393058,0.06054882792257482,0.004068340922306091,0.0651545775393058,0.06054882792257482,0.004068340922306091,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,0,6,4.222111701965332,4.172977447509766,4.462001800537109,4.437580108642578,-0.32402971386909485,-0.312233567237854,1.0,0.0,0.0,0.0,1.0,0.0,,0.0626654116832833,0.05842790912503263,0.0038403154718102046,0.0626654116832833,0.05842790912503263,0.0038403154718102046,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,1,7,3.928009271621704,3.8953585624694824,4.437580108642578,4.411202907562256,-0.312233567237854,-0.31828927993774414,1.0,0.0,1.0,1.0,1.0,0.0,probe_target_pearson_drop,0.06237677022374884,0.05828998779503543,0.0037204766075085945,0.06237677022374884,0.05828998779503543,0.0037204766075085945,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,1,8,3.9315497875213623,3.9003186225891113,4.411202907562256,4.382852554321289,-0.31828927993774414,-0.33431360125541687,1.0,0.0,1.0,1.0,1.0,0.0,probe_target_pearson_drop,0.061917559025564756,0.05792326676770819,0.003779496102906834,0.061917559025564756,0.05792326676770819,0.003779496102906834,1e-06,0.0001,0.0001
hierarchical_actor_joint_reward_aligned_credit,0,1,9,3.7768607139587402,3.74729585647583,4.382852554321289,4.352721214294434,-0.33431360125541687,-0.338911771774292,1.0,0.0,1.0,1.0,1.0,0.0,probe_target_pearson_drop,0.06055474581939079,0.05659193148166088,0.003852003659435522,0.06055474581939079,0.05659193148166088,0.003852003659435522,1e-06,0.0001,0.0001
