epoch,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,offload_decision_agreement_ratio,route_decision_agreement_ratio,theta_residual_credit_mean,route_residual_credit_mean
0,0.16915985941886902,0.05512803792953491,-0.04088423028588295,0.03445638716220856,0.006250998005270958,0.4247916638851166,0.006087662186473608,0.48645833134651184,0.5040584206581116,-0.02007192000746727,0.020834852010011673
1,0.006613587029278278,0.009213070385158062,0.023550746962428093,-0.002874500583857298,0.009836380369961262,0.5506250262260437,0.17737789452075958,0.5137500166893005,0.4738646149635315,0.028554817661643028,-0.03395431116223335
2,0.1865154355764389,0.027902016416192055,-0.04405687749385834,-0.021020783111453056,-0.013936221599578857,0.4595833420753479,0.24098125100135803,0.5664583444595337,0.47138047218322754,0.08703557401895523,-0.031541261821985245
3,0.29552334547042847,0.032205913215875626,-0.023129014298319817,-0.0291142538189888,-0.04133301600813866,0.3335416615009308,0.33507245779037476,0.6333333253860474,0.45739129185676575,0.13291628658771515,-0.04844475910067558
4,-0.14687304198741913,0.01734374277293682,0.04427780956029892,-0.031082497909665108,-0.07937673479318619,0.17729167640209198,0.3626459240913391,0.6860417127609253,0.4420233368873596,0.14089582860469818,-0.0225918497890234
5,0.031011616811156273,-0.03554816171526909,-0.05208655074238777,-0.011137093417346478,-0.054949142038822174,0.12708333134651184,0.29727497696876526,0.643750011920929,0.415359228849411,0.09343471378087997,-0.05846294388175011
6,0.1589236557483673,-0.03764520585536957,0.031102491542696953,-0.009812090545892715,-0.03941512480378151,0.12666666507720947,0.22422873973846436,0.6185416579246521,0.42362678050994873,0.06792664527893066,-0.04189436137676239
7,-0.08576630055904388,-0.04118276759982109,0.007818125188350677,-0.015524514950811863,-0.031333085149526596,0.125,0.19470404088497162,0.6164583563804626,0.43691587448120117,0.0657833069562912,-0.024878794327378273
8,-0.03334277495741844,0.014788401313126087,0.022295333445072174,-0.00974636897444725,0.0009998931782320142,0.12979167699813843,0.1588050276041031,0.612708330154419,0.3946540653705597,0.061135612428188324,-0.023262472823262215
9,0.06700684130191803,0.013116378337144852,-0.04592316597700119,-0.01462535746395588,-0.005384193267673254,0.13333334028720856,0.17210440337657928,0.627916693687439,0.4102773368358612,0.07456126809120178,-0.01614472270011902
10,-0.10314420610666275,0.018295513466000557,-0.0037896018475294113,-0.0042449068278074265,0.00942681822925806,0.11791666597127914,0.16694079339504242,0.6272916793823242,0.390625,0.058978401124477386,-0.003926108591258526
11,-0.133912593126297,2.2172236640471965e-05,-0.025196785107254982,0.0015368267195299268,0.06034459173679352,0.1614583432674408,0.2825947403907776,0.5787500143051147,0.41811177134513855,0.04262160137295723,-0.005290372762829065
